id,class_label,rank_label
0,游戏,低风险
1,体育,可公开
2,家居,可公开
3,家居,可公开
4,游戏,低风险
5,科技,中风险
6,体育,可公开
7,时尚,低风险
8,时政,高风险
9,娱乐,可公开
10,时政,高风险
11,时政,高风险
12,财经,高风险
13,房产,中风险
14,房产,中风险
15,财经,高风险
16,家居,可公开
17,科技,中风险
18,家居,可公开
19,家居,可公开
20,家居,可公开
21,游戏,低风险
22,财经,高风险
23,体育,可公开
24,房产,中风险
25,家居,可公开
26,教育,低风险
27,游戏,低风险
28,家居,可公开
29,教育,低风险
30,科技,中风险
31,教育,低风险
32,时政,高风险
33,时政,高风险
34,时政,高风险
35,财经,高风险
36,时政,高风险
37,时政,高风险
38,时政,高风险
39,家居,可公开
40,教育,低风险
41,游戏,低风险
42,房产,中风险
43,时政,高风险
44,财经,高风险
45,教育,低风险
46,家居,可公开
47,家居,可公开
48,房产,中风险
49,游戏,低风险
50,科技,中风险
51,体育,可公开
52,房产,中风险
53,娱乐,可公开
54,家居,可公开
55,游戏,低风险
56,体育,可公开
57,房产,中风险
58,时尚,低风险
59,游戏,低风险
60,财经,高风险
61,教育,低风险
62,教育,低风险
63,时政,高风险
64,财经,高风险
65,游戏,低风险
66,财经,高风险
67,时政,高风险
68,时尚,低风险
69,财经,高风险
70,娱乐,可公开
71,家居,可公开
72,时尚,低风险
73,时尚,低风险
74,时尚,低风险
75,教育,低风险
76,房产,中风险
77,游戏,低风险
78,房产,中风险
79,家居,可公开
80,家居,可公开
81,房产,中风险
82,体育,可公开
83,游戏,低风险
84,时尚,低风险
85,时政,高风险
86,教育,低风险
87,家居,可公开
88,财经,高风险
89,家居,可公开
90,家居,可公开
91,时尚,低风险
92,教育,低风险
93,房产,中风险
94,体育,可公开
95,体育,可公开
96,家居,可公开
97,家居,可公开
98,时政,高风险
99,时尚,低风险
100,财经,高风险
101,娱乐,可公开
102,家居,可公开
103,教育,低风险
104,体育,可公开
105,家居,可公开
106,教育,低风险
107,体育,可公开
108,游戏,低风险
109,家居,可公开
110,房产,中风险
111,教育,低风险
112,教育,低风险
113,时政,高风险
114,教育,低风险
115,时政,高风险
116,教育,低风险
117,时尚,低风险
118,时政,高风险
119,家居,可公开
120,时尚,低风险
121,财经,高风险
122,体育,可公开
123,房产,中风险
124,游戏,低风险
125,教育,低风险
126,时尚,低风险
127,游戏,低风险
128,时政,高风险
129,教育,低风险
130,时政,高风险
131,教育,低风险
132,财经,高风险
133,游戏,低风险
